obs_date_time,JD,target_name,rel_flux,blue_over_red,comp_blue_over_red,target_flux,comp_name,comp_flux,airmass,rolling_average_window_size
2024-02-26 04:40:44.344001,2460366.694957685,KELT-4,0.9876919956619706,0.9582377103024309,0.9919548461924227,19760196.80276202,TYC 1973-1054-1,20173129.02526726,1.0450879666666666,30
2024-02-26 04:43:04.423989,2460366.6965789814,KELT-4,0.9887496405928266,0.9746885968572275,0.9924390137046977,19866191.3428138,TYC 1973-1054-1,20257013.41428986,1.0432455666666667,30
2024-02-26 04:44:14.342982,2460366.697388229,KELT-4,0.9861910736840399,0.9881213252664821,0.9966861406795646,19869053.870935872,TYC 1973-1054-1,20318798.49780185,1.0414379666666667,30
2024-02-26 04:45:24.344011,2460366.698198426,KELT-4,0.9835603300457479,0.9704619962825011,0.9994934425825345,19827327.800884984,TYC 1973-1054-1,20342007.29321103,1.0396638,30
2024-02-26 04:46:34.348016,2460366.6990086576,KELT-4,0.9871900730668562,0.9732661184593154,1.008971645076227,19826852.163945276,TYC 1973-1054-1,20260635.395893477,1.0379251999999999,30
2024-02-26 04:47:44.347999,2460366.6998188426,KELT-4,0.9917649401564773,0.9838734481893227,1.0012031174805662,19797207.629078794,TYC 1973-1054-1,20145647.687130094,1.0362211666666667,30
2024-02-26 04:53:34.344008,2460366.7038697223,KELT-4,0.9933699517656557,0.9821908995037529,1.000466133121963,19858993.883778647,TYC 1973-1054-1,20175829.914603066,1.0344598,30
2024-02-26 04:54:44.348014,2460366.704679954,KELT-4,1.0008014622030217,0.9958771764189581,0.9967970075815896,20006679.37567453,TYC 1973-1054-1,20172929.87745267,1.0327340333333335,30
2024-02-26 04:55:54.313999,2460366.7054897454,KELT-4,0.9967108115851204,1.0008777140685086,1.0156040792491428,20052059.33771907,TYC 1973-1054-1,20330201.057719845,1.0310434333333334,30
2024-02-26 04:58:14.343013,2460366.7071104515,KELT-4,0.9985523149712281,1.0060750941398222,1.031812862388784,20001459.690813906,TYC 1973-1054-1,20243391.658726472,1.0294269999999999,30
2024-02-26 04:59:24.344001,2460366.707920648,KELT-4,1.0016731643854053,1.0022362186196778,1.0267505784527096,19989600.195439186,TYC 1973-1054-1,20172425.230432875,1.0278471666666666,30
2024-02-26 05:00:34.343983,2460366.708730833,KELT-4,0.9904844207553697,1.0175668502149668,1.0255331015725722,19781730.95390792,TYC 1973-1054-1,20191019.024120636,1.0263020666666667,30
2024-02-26 05:01:15.411996,2460366.7092061574,KELT-4,0.994155925204176,1.009542109133881,1.0466928184066042,19854571.211936433,TYC 1973-1054-1,20182369.354682267,1.0248485,30
2024-02-26 05:02:25.331995,2460366.7100154166,KELT-4,0.9897618271975662,1.0101769493575112,1.0491810683119858,19835735.94449788,TYC 1973-1054-1,20236610.61348517,1.0234286666666665,30
2024-02-26 05:03:35.344007,2460366.710825741,KELT-4,0.9877606409822136,1.025184263455325,1.0450102347281007,19789253.42495,TYC 1973-1054-1,20230526.057379797,1.0220419666666667,30
2024-02-26 05:05:55.344053,2460366.7124461117,KELT-4,0.9864784353844983,1.0240317371297136,1.045592332935348,19774242.10795133,TYC 1973-1054-1,20243837.174857356,1.0206746,30
2024-02-26 05:07:05.484006,2460366.7132579167,KELT-4,0.9838749120431339,1.030352988647281,1.053402107682879,19755843.460379407,TYC 1973-1054-1,20277067.563719455,1.0193423666666666,30
2024-02-26 05:08:15.344017,2460366.7140664817,KELT-4,0.9833994552187388,1.0442740620461028,1.0501044456205322,19805759.36623456,TYC 1973-1054-1,20347191.17667074,1.0180452,30
2024-02-26 05:10:35.386951,2460366.715687349,KELT-4,0.9834063696109525,1.0529399337756438,1.0738365273735886,19881887.142762896,TYC 1973-1054-1,20416775.73823624,1.0168583,30
2024-02-26 05:12:55.480016,2460366.7173087965,KELT-4,0.9821637295623149,1.05716278604427,1.0687101454799433,19843145.338184096,TYC 1973-1054-1,20401471.212694466,1.0156942333333334,30
2024-02-26 05:14:05.344010,2460366.7181174075,KELT-4,0.9828439315267576,1.0738097804706581,1.0651492472561557,19792714.830457907,TYC 1973-1054-1,20328555.46522035,1.0145628333333334,30
2024-02-26 05:16:25.344015,2460366.719737778,KELT-4,0.9929979073912438,1.0732246374541505,1.064503858632734,19902615.34122547,TYC 1973-1054-1,20252904.973128308,1.0134566333333332,30
2024-02-26 05:17:35.361016,2460366.72054816,KELT-4,1.0084186882225032,1.082958163137168,1.0680914234391563,19988125.86987979,TYC 1973-1054-1,20114749.957328223,1.0123852,30
2024-02-26 05:18:45.351986,2460366.7213582406,KELT-4,1.0103780806727842,1.0841633467135714,1.0767943948764307,20034872.892441146,TYC 1973-1054-1,20122635.540676005,1.0114104666666668,30
2024-02-26 05:21:05.308982,2460366.722978113,KELT-4,1.0084523137958417,1.0955683097208255,1.090110894590719,19988929.84806746,TYC 1973-1054-1,20114613.52498208,1.0104621333333335,30
2024-02-26 05:23:25.310033,2460366.7245984958,KELT-4,1.0048528474900915,1.0931565201742215,1.0924441683269335,19918444.75721473,TYC 1973-1054-1,20121571.441062115,1.0095794666666666,30
2024-02-26 05:24:35.345019,2460366.725409086,KELT-4,1.0091430723171384,1.0967581757208786,1.098888811313742,20043095.38497054,TYC 1973-1054-1,20153655.525524106,1.0087291,30
2024-02-26 05:25:45.343995,2460366.726219259,KELT-4,1.0035266383545975,1.0936252950553083,1.0866616108911342,20066195.930554297,TYC 1973-1054-1,20252190.468291603,1.0079111333333333,30
