obs_date_time,JD,airmass,target_name,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-04-06 01:32:15.941,2460771.5640733913,1.590095,XO-6,1030027.040616389,987093.0221207195,1527175.6402124562,1.4826558721201761,TYC 4357-177-1,276350.06229711446,289634.63661039947,520276.9521391952,1.8826735475088319
2025-04-06 01:32:59.947,2460771.56458272,1.587737,XO-6,1013712.8639219657,968927.8813510083,1567587.9038561592,1.5463825701010636,TYC 4357-177-1,279483.3415674932,291087.4375283286,529380.8806379506,1.8941410878691278
2025-04-06 01:33:43.783,2460771.565090081,1.589083,XO-6,1006970.9877809172,943581.1361064469,1565768.9326152764,1.5549295378070362,TYC 4357-177-1,269852.55320465413,283499.85338447586,505780.9804252998,1.8742864368665777
2025-04-06 01:34:27.655,2460771.5655978587,1.59045,XO-6,1026764.8280919518,947562.9059781147,1568660.801390727,1.5277702921571499,TYC 4357-177-1,266940.0787802347,363204.6818733624,527451.0850223606,1.9759156715339037
2025-04-06 01:35:11.394,2460771.5661040973,1.591843,XO-6,1022369.8278267961,981509.8754414212,1384363.5289785997,1.354073145841243,TYC 4357-177-1,278806.55624676775,281622.5012703251,530654.1985014857,1.9033060256725498
2025-04-06 01:35:55.296,2460771.566612222,1.593209,XO-6,986221.7490370137,948325.6018463037,1552736.8463587228,1.574429734362355,TYC 4357-177-1,270551.0403239077,280844.693712897,517321.462725055,1.9121030253874098
2025-04-06 01:36:38.979,2460771.5671178126,1.594631,XO-6,1039827.3563016424,1024608.0214790497,1391181.8698649195,1.337896970524935,TYC 4357-177-1,284756.1286512435,290692.6957979584,553183.9654975527,1.942658681720833
2025-04-06 01:37:22.646,2460771.5676232176,1.596017,XO-6,997652.454870975,977244.2982025787,1603525.35189831,1.607298557798559,TYC 4357-177-1,276136.7887527709,283907.3677784155,527346.8099760412,1.9097303635560927
2025-04-06 01:38:06.382,2460771.568129421,1.597389,XO-6,997347.9519280927,956418.1730157842,1505159.3240322666,1.5091616933914216,TYC 4357-177-1,349300.2013255868,294124.5882026407,498806.57835724787,1.4280168647607059
2025-04-06 01:39:22.615,2460771.569011748,1.602799,XO-6,1033325.838616351,983766.1370524262,1591326.2199919906,1.5400042856983194,TYC 4357-177-1,286025.8949639977,294793.34201906493,535009.3831893745,1.8704928211367593
2025-04-06 01:40:06.257,2460771.569516863,1.604176,XO-6,1006098.6089225188,980538.6847817635,1352677.8434271629,1.3444783954883042,TYC 4357-177-1,297084.19885851926,315557.64759230556,526957.2884665085,1.7737641062406755
2025-04-06 01:40:50.079,2460771.5700240624,1.605608,XO-6,1068881.8656515272,999645.9071818653,1417963.9963725056,1.3265862598465907,TYC 4357-177-1,279462.4996570734,289900.2746283156,547333.1750937097,1.9585210028727957
2025-04-06 01:41:33.842,2460771.5705305785,1.607036,XO-6,1026184.4337465109,936711.8674948858,1519435.7200191172,1.480665336611849,TYC 4357-177-1,321620.1655815136,294094.05155338225,535103.221415941,1.663773850897794
2025-04-06 01:42:16.857,2460771.5710284375,1.608451,XO-6,825793.1898054604,1003268.9960798237,1380623.5306713867,1.6718756556912666,TYC 4357-177-1,308548.7646809834,298916.273711057,506340.8265695887,1.6410398761217135
2025-04-06 01:43:00.622,2460771.571534977,1.609876,XO-6,1011148.2979446618,962914.6299248722,1555765.9524585553,1.5386130359126604,TYC 4357-177-1,294298.6645274819,362556.5298284384,500250.7916964965,1.6998065298722502
2025-04-06 01:43:44.302,2460771.5720405322,1.611303,XO-6,1039205.356338837,968649.9409010453,1598010.602781289,1.5377236010514281,TYC 4357-177-1,293142.59769049234,293339.78782711027,522983.71208584995,1.7840590763885837
2025-04-06 01:44:28.018,2460771.5725465044,1.612776,XO-6,981375.4273134854,920739.7798747993,1496316.6631274358,1.524713806237845,TYC 4357-177-1,269651.4130258718,279966.3570014464,508351.909423636,1.8852187856878095
2025-04-06 01:45:11.764,2460771.573052824,1.614275,XO-6,1000798.0999806233,975714.8880030883,1570768.0873591197,1.5695154571032175,TYC 4357-177-1,362586.6579715471,292121.1980113945,537519.9977529903,1.4824593953900274
2025-04-06 01:45:55.683,2460771.573561146,1.615786,XO-6,998314.6237866909,964644.9938621093,1549038.7718940615,1.5516538924556948,TYC 4357-177-1,289946.44199522224,285353.0624140334,535059.7294894439,1.8453743588212774
2025-04-06 01:47:10.535,2460771.5744274883,1.618143,XO-6,1024995.9152357074,987388.5459351792,1603651.746441124,1.5645445241333955,TYC 4357-177-1,306880.4541040727,291105.92428699846,538045.9837184025,1.7532755068719181
2025-04-06 01:47:54.233,2460771.5749332523,1.619636,XO-6,1054311.3837199039,990612.9190764863,1574026.8420286332,1.4929430397261088,TYC 4357-177-1,280328.457166536,305823.39776360476,541360.0481907635,1.9311633705070306
2025-04-06 01:48:38.216,2460771.5754423146,1.621094,XO-6,990759.3961202776,950798.7937049412,1539020.0879693585,1.5533742036623819,TYC 4357-177-1,267666.7029103215,308280.63712589134,517335.07971896103,1.9327584420998676
2025-04-06 01:49:21.907,2460771.5759479976,1.622555,XO-6,976538.7184483464,946417.6527956193,1552145.7814090485,1.5894359865989776,TYC 4357-177-1,274379.92625447334,316647.3916970059,504509.8828038213,1.8387273795529568
2025-04-06 01:50:05.895,2460771.576457118,1.624033,XO-6,953651.2133356645,919818.9061481351,1525923.2377773598,1.6000852475613303,TYC 4357-177-1,263341.25214787014,276248.1854019661,521453.26906593406,1.980142741833437
