obs_date_time,JD,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-02-07 02:31:35.014,2460713.6052663657,839339.4979960634,1006518.6720472927,1896413.5005573465,2.259411722056527,372122.85581109696,452868.1610544186,978808.6632161727,2.630337395113004
2025-02-07 02:32:40.527,2460713.6060246183,1123976.13169032,1092290.779200708,1828479.7714091002,1.6267959077202951,893928.1765674356,479687.71817552677,972100.2805194814,1.0874478576704185
2025-02-07 02:33:45.461,2460713.606776169,1066422.8113937373,1171657.6290023527,1758473.9505696453,1.6489463013937664,880958.6306317222,478315.4697246167,974137.707865119,1.1057700940696609
2025-02-07 02:37:00.520,2460713.6090337965,473059.4584993258,562380.3298684631,1343100.7096156795,2.839179484702331,256516.44567142095,329831.97663666354,484732.90319267055,1.8896757356975795
2025-02-07 02:39:10.490,2460713.6105380785,844305.4993878198,635691.6669195888,1306515.742631311,1.5474443120157642,787942.1211032341,306617.8498056996,632912.9783599805,0.8032480577048093
2025-02-07 02:40:15.639,2460713.611292118,593958.6095501044,841888.2781884294,1191866.605083009,2.0066492612772997,288270.22132013855,275604.3392160252,554019.863793744,1.9218768461639926
2025-02-07 02:41:20.749,2460713.6120457062,954905.5873870824,775955.4505066612,1675800.3561571098,1.7549382664548219,563717.0761136368,417306.9416889674,799955.6380408488,1.4190729213950402
2025-02-07 02:42:56.002,2460713.6131481715,1013821.1583472063,1003451.6470146744,1878507.6027241428,1.8528984005291442,783771.6394723378,482843.7847249953,982942.4201934113,1.254118381796976
2025-02-07 02:44:01.142,2460713.6139021064,863466.8892160676,958663.6651660186,1822014.0882139734,2.110114598451089,600644.5717075827,466050.5197189691,958387.1008225881,1.5955977061408764
2025-02-07 02:45:06.111,2460713.6146540623,800278.0167121019,897288.3674447782,1743170.7166179328,2.1782064235372274,593716.1682847568,500154.851903565,929811.9338560202,1.5660882817832678
2025-02-07 02:46:11.141,2460713.6154067246,811926.2915050567,920158.7685863833,1836953.7687375,2.262463708783668,700380.7694988077,544452.2462901091,987091.3871127395,1.4093639204558712
2025-02-07 02:47:16.151,2460713.616159155,1063613.1424285595,982712.6211486389,1898685.438152664,1.7851278462180102,799295.7769053449,485625.998897097,962568.8769542181,1.2042711906736479
2025-02-07 02:49:26.301,2460713.617665521,893710.102356771,1039379.9708735954,1750237.1382015944,1.9583947116476657,946939.8384681592,490213.6612213776,998075.334985002,1.054000786997792
2025-02-07 02:50:31.366,2460713.618418588,966596.4826121005,1027169.1945891359,1815073.12638341,1.8777981909042463,859268.7615078238,488980.60992978804,1001363.7969549915,1.1653673935473028
2025-02-07 02:51:36.559,2460713.6191731365,914332.0782278561,992162.3026385112,1790836.5451847457,1.9586281481622263,661230.3182144391,465062.0927720859,978143.5733096794,1.479278167327567
2025-02-07 02:52:41.796,2460713.6199281947,1070346.453040729,1111736.085126389,1807402.1122750468,1.6886140997995824,547773.3255456877,533737.3545626057,1002093.9651023631,1.8293953326480157
2025-02-07 02:55:22.003,2460713.621782442,891114.1410474957,653003.9100564641,1446337.831361023,1.623066860616607,477227.5101734708,331198.59394865256,619262.0063310628,1.2976242842873054
2025-02-07 02:56:26.990,2460713.6225346066,884179.4973495344,672619.4016928541,1525075.7118595515,1.7248485363336328,339103.1039178435,406251.9394581864,810097.800185444,2.3889424509122485
2025-02-07 02:57:32.032,2460713.623287407,1041681.540626072,905381.5132554846,1930559.3033398087,1.8533104677841397,668036.992937169,450132.32943036815,967849.8201513086,1.4487967438688503
2025-02-07 02:58:37.052,2460713.6240399536,1078126.1179973204,871516.1201283216,1744399.782199489,1.617992323050117,750335.7377869018,429981.06653946615,864546.9327594861,1.1522134548854726
2025-02-07 02:59:42.240,2460713.6247944445,928807.4003804601,904620.036942126,1633677.7218468916,1.7588982615531497,611580.1048572562,341788.4019469213,568486.5687594772,0.9295373807036496
2025-02-07 03:00:47.341,2460713.6255479283,629653.668423396,667712.2034275313,1547155.8285943966,2.457153680162549,295858.15263409365,360624.49686739605,765218.3173418669,2.5864364748071025
2025-02-07 03:01:52.459,2460713.626301609,1071004.3429626818,976698.8243188079,1899398.3536024434,1.7734739976387064,568095.7692931017,465613.18745568715,977065.6240978704,1.7198959698532201
2025-02-07 03:02:57.387,2460713.6270530904,954319.0423264308,968940.1994236202,1869803.767776547,1.9593067777609838,607979.4188958551,467689.6979144399,976231.4405136828,1.6056981703206439
2025-02-07 03:04:02.572,2460713.6278075464,1057455.9714527994,960660.2719254567,1879121.9318040872,1.7770214387483496,850745.168207331,482097.71723515925,996427.9292028084,1.1712413616200212
2025-02-07 03:05:50.049,2460713.629051493,1058706.5810830211,923606.7297651992,1906678.5458815533,1.8009508771836342,868711.8970674179,484253.19277196244,1017616.8468317882,1.1714088989307514
2025-02-07 03:06:55.115,2460713.6298045716,909889.5709960455,978977.0309373363,1847899.0362860463,2.0309047330470804,672685.1427332212,497894.8092129572,985645.2140602571,1.4652400528060303
2025-02-07 03:08:00.077,2460713.630556447,854011.0410742596,970167.4745079664,1965440.399736796,2.3014227044002507,637819.9696669464,525926.131720649,1000702.8815544852,1.568942537307239
