obs_date_time,JD,airmass,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-04-27 01:24:51.545,2460792.558929919,1.146658,1848473.9965132421,2588872.966703638,2900910.0530518703,1.569353996065851,3487353.3761124965,2902000.7046527183,2332722.179550138,0.6689090344353127
2025-04-27 01:26:10.123,2460792.5598393865,1.144544,3436801.7475418723,2319292.7804552917,2155550.3281974434,0.6271965875655099,3561337.7442022227,2277299.0341446446,2932509.040043367,0.8234290737567437
2025-04-27 01:27:20.843,2460792.560657905,1.142698,2571229.9918351965,2253011.270597831,2792261.305610156,1.0859632605705567,3310838.6137174987,2135137.271040818,2221060.99762436,0.670845443333311
2025-04-27 01:28:31.469,2460792.5614753356,1.140877,1629129.4583592636,2692601.845318228,2353841.631974568,1.4448462765784003,3141411.1760108615,2044558.859494109,2771347.180790292,0.8821981668472647
2025-04-27 01:30:51.748,2460792.5630989354,1.136523,2303181.7916434878,1220225.2902363979,1622677.2492184523,0.7045371994108003,3573780.765306827,2856987.5732966657,3019722.622046069,0.8449658276077296
2025-04-27 01:32:09.815,2460792.5640024883,1.134683,2912031.748774491,2485972.2027283628,2144316.5799004473,0.7363644235001451,2323281.4460157617,2685819.0918735284,2245878.7549542473,0.9666838939405066
2025-04-27 01:33:20.593,2460792.564821678,1.133079,3255633.549949837,2937184.914163093,2847787.994113497,0.8747262093294793,1858840.6073875832,3153026.243098918,1977221.9513708744,1.0636855809544985
2025-04-27 01:34:31.423,2460792.56564147,1.131472,2833543.4113838472,2029747.3453478233,3887746.0318927164,1.3720439278514591,2725916.758190901,3462215.8657824867,1802911.6784621507,0.6613964542551484
2025-04-27 01:35:42.096,2460792.5664594444,1.129851,2857303.0836200844,2316316.275926524,2968798.20069047,1.0390211026997969,2212439.9157992443,2781751.0164130596,2320022.2703592614,1.0486261135462984
2025-04-27 01:36:52.719,2460792.56727684,1.128203,2876590.7680754378,3073180.7785132555,1658688.598295854,0.5766161167949474,3155301.8152818,1938405.0698261699,2675971.461606966,0.8480873204099415
2025-04-27 01:38:03.606,2460792.5680972915,1.126624,1994449.7446376244,2575739.8856714917,2293369.0380772394,1.1498755705644146,2285320.5496726506,2041935.436568034,2890325.1487560263,1.2647351152423831
2025-04-27 01:39:14.815,2460792.56892147,1.125081,1986884.9109918333,2467977.8531417563,3026132.1557994857,1.5230535694636034,2271065.634272347,3375627.9090711004,2339259.0508973002,1.0300270567243215
2025-04-27 01:40:25.368,2460792.5697380556,1.123554,2924379.527632325,2489313.455260958,2986118.1198799647,1.0211116893906125,2689441.173961134,2778705.3323693858,2265458.653469274,0.8423529301935245
2025-04-27 01:41:36.028,2460792.5705558797,1.122031,3114520.9648584565,3132317.7059107195,2004740.1629372416,0.6436752828306455,3339530.1050679195,2632414.574323689,3229140.5218150415,0.9669445760990878
2025-04-27 01:43:09.923,2460792.5716426275,1.120072,3697394.385218695,2291257.7629639464,2387189.3133048047,0.6456409743164595,1677684.5071810107,2497859.915701967,2855100.9360343246,1.7018103963013342
2025-04-27 01:44:20.959,2460792.5724648032,1.118642,2370721.0847068205,2330244.5695274244,2774948.1643471434,1.1705080712564349,2595555.4408532297,2612892.227140294,3191261.3174611917,1.229509979726011
2025-04-27 01:45:31.600,2460792.5732824076,1.117221,1733145.8969042385,2350530.451127774,1987881.9390028084,1.146978994990313,1974216.4171656487,1762768.7634018266,761520.055973429,0.38573281498019923
2025-04-27 01:46:42.367,2460792.57410147,1.115754,2071752.6883185832,3179605.2862832965,3083265.8008155115,1.4882402799331536,2883133.711037531,2346830.2595814094,1416284.7656977964,0.49123103804579665
2025-04-27 01:47:53.264,2460792.574922037,1.114341,3073755.047046723,3357556.6790997847,2652395.27667449,0.862916932571749,3479274.534748151,1560554.2542420798,2301000.4361948194,0.6613448904978055
2025-04-27 01:49:03.997,2460792.575740706,1.112973,2990274.559684548,3081439.0154647618,3166141.0906705544,1.0588128372414602,2087617.4665318416,3091302.8136817245,3251771.981142102,1.5576474297967384
2025-04-27 01:50:14.615,2460792.576558044,1.111605,2327804.4077187753,2685583.54998448,3474624.108088749,1.4926615383007396,3009145.090109264,2584678.722299259,2119674.5484336917,0.7044108824798225
2025-04-27 01:51:25.290,2460792.5773760416,1.110285,3003766.906975683,2399039.2667458123,2439531.50192142,0.812157393523468,1705796.7032454987,2715120.697473293,2140622.1624804465,1.2549104816580055
2025-04-27 01:52:36.403,2460792.5781991086,1.108974,2609938.3988604774,2665563.071498795,3411745.11163301,1.3072128879067064,1842331.986200747,2538343.047842584,2353510.12053508,1.277462551897871
2025-04-27 01:53:47.030,2460792.579016551,1.107691,3185654.9703395297,2749984.223847515,1636871.935326985,0.5138258695832731,2546089.720049775,2621626.1800350975,2415033.348089462,0.9485264125108086
2025-04-27 01:55:33.689,2460792.58025103,1.104002,2082564.1741149542,1774826.118323711,1919911.159318246,0.9218977178142266,2863837.854731748,1274312.7573434433,2210623.3848812496,0.7719094086380516
2025-04-27 01:56:51.399,2460792.581150451,1.102631,2092815.3278199218,1922304.5586560713,2770776.895849205,1.3239471533952847,1942761.7329557673,2965452.239074281,3001963.084048434,1.5452039398990893
2025-04-27 01:58:02.238,2460792.581970347,1.101396,2034074.3225844707,3009196.2939800425,2720259.9188215756,1.3373453902929395,1721619.3024700605,3245666.7104212577,2335509.7748589865,1.356577363827275
