obs_date_time,JD,airmass,target_name,tmid,target_flux_red,flux_green,flux_blue,blue_over_red,comp_name,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2024-02-26 03:54:32.343,2460366.66287434,1.072172,KELT-4,2460366.7809,22348223.45392833,24163644.138948724,22418119.73037589,1.0031275987816952,TYC 1973-1054-1,22348223.45392833,24163644.138948724,22418119.73037589,1.0031275987816952
2024-02-26 03:55:42.348,2460366.6636845833,1.070298,KELT-4,2460366.7809,24665613.59817727,23858801.16726528,23195002.008205563,0.94037806583979,TYC 1973-1054-1,24665613.59817727,23858801.16726528,23195002.008205563,0.94037806583979
2024-02-26 03:56:52.348,2460366.6644947687,1.068482,KELT-4,2460366.7809,25661525.515185997,24610311.3014105,23138689.009219684,0.9016879762478132,TYC 1973-1054-1,25661525.515185997,24610311.3014105,23138689.009219684,0.9016879762478132
2024-02-26 03:58:02.348,2460366.6653049537,1.066632,KELT-4,2460366.7809,21234922.98772694,23231232.8948543,23181185.500293095,1.0916538531216256,TYC 1973-1054-1,21234922.98772694,23231232.8948543,23181185.500293095,1.0916538531216256
2024-02-26 03:59:12.404,2460366.666115787,1.064857,KELT-4,2460366.7809,22424729.615566693,21981157.188343205,23048267.304614633,1.0278058063458253,TYC 1973-1054-1,22424729.615566693,21981157.188343205,23048267.304614633,1.0278058063458253
2024-02-26 04:00:22.348,2460366.666925324,1.06313,KELT-4,2460366.7809,23474812.71341549,23010668.222467065,21786180.66733612,0.9280662186022749,TYC 1973-1054-1,23474812.71341549,23010668.222467065,21786180.66733612,0.9280662186022749
2024-02-26 04:01:32.344,2460366.667735463,1.061425,KELT-4,2460366.7809,24112249.45302243,21613506.9426931,20309940.690215405,0.8423080032323399,TYC 1973-1054-1,24112249.45302243,21613506.9426931,20309940.690215405,0.8423080032323399
2024-02-26 04:02:42.400,2460366.668546296,1.059756,KELT-4,2460366.7809,23977680.58892152,21694829.33622759,22413112.79380878,0.9347489933686237,TYC 1973-1054-1,23977680.58892152,21694829.33622759,22413112.79380878,0.9347489933686237
2024-02-26 04:03:52.348,2460366.6693558795,1.058067,KELT-4,2460366.7809,21824505.937504847,21312401.6046286,20602007.541198745,0.9439850597394157,TYC 1973-1054-1,21824505.937504847,21312401.6046286,20602007.541198745,0.9439850597394157
2024-02-26 04:05:02.344,2460366.6701660184,1.056405,KELT-4,2460366.7809,22014571.280449815,23709319.781970203,22998507.957027163,1.0446947916469824,TYC 1973-1054-1,22014571.280449815,23709319.781970203,22998507.957027163,1.0446947916469824
2024-02-26 04:06:12.358,2460366.670976366,1.054769,KELT-4,2460366.7809,25609702.88781783,22970358.103004582,21891161.56034334,0.8547995131468961,TYC 1973-1054-1,25609702.88781783,22970358.103004582,21891161.56034334,0.8547995131468961
2024-02-26 04:07:23.347,2460366.671797998,1.053214,KELT-4,2460366.7809,24279168.12565477,21853727.1764384,24020267.323492203,0.9893365044130571,TYC 1973-1054-1,24279168.12565477,21853727.1764384,24020267.323492203,0.9893365044130571
2024-02-26 04:09:43.344,2460366.6734183333,1.050166,KELT-4,2460366.7809,23644904.68809497,21467642.958962537,19167609.54637746,0.8106443988344012,TYC 1973-1054-1,23644904.68809497,21467642.958962537,19167609.54637746,0.8106443988344012
2024-02-26 04:10:53.344,2460366.6742285187,1.048679,KELT-4,2460366.7809,21858585.979255244,20006122.196690712,21841740.767265216,0.9992293549085922,TYC 1973-1054-1,21858585.979255244,20006122.196690712,21841740.767265216,0.9992293549085922
2024-02-26 04:12:03.348,2460366.67503875,1.047219,KELT-4,2460366.7809,23564680.804638244,23203567.70005515,22509271.22646107,0.9552122268522544,TYC 1973-1054-1,23564680.804638244,23203567.70005515,22509271.22646107,0.9552122268522544
2024-02-26 04:13:13.347,2460366.6758489236,1.045764,KELT-4,2460366.7809,23020828.319493815,20857135.188848164,20414630.47052797,0.8867895710442816,TYC 1973-1054-1,23020828.319493815,20857135.188848164,20414630.47052797,0.8867895710442816
2024-02-26 04:14:23.344,2460366.676659074,1.044305,KELT-4,2460366.7809,25463164.427119665,21715802.55350084,21277946.113746066,0.8356363630548561,TYC 1973-1054-1,25463164.427119665,21715802.55350084,21277946.113746066,0.8356363630548561
2024-02-26 04:15:33.337,2460366.677469178,1.042886,KELT-4,2460366.7809,22581004.03115683,22569336.10314765,22645241.555051696,1.0028447594184133,TYC 1973-1054-1,22581004.03115683,22569336.10314765,22645241.555051696,1.0028447594184133
2024-02-26 04:16:43.344,2460366.6782794446,1.041516,KELT-4,2460366.7809,18909094.136955917,22018176.97410903,19760090.49798855,1.0450046075644337,TYC 1973-1054-1,18909094.136955917,22018176.97410903,19760090.49798855,1.0450046075644337
2024-02-26 04:19:03.344,2460366.679899815,1.038878,KELT-4,2460366.7809,23184657.84259735,21085728.757669903,17127628.423200827,0.7387483800486416,TYC 1973-1054-1,23184657.84259735,21085728.757669903,17127628.423200827,0.7387483800486416
2024-02-26 04:20:13.344,2460366.68071,1.037588,KELT-4,2460366.7809,19725989.730666693,22012293.32290767,17951286.961973965,0.9100322572948665,TYC 1973-1054-1,19725989.730666693,22012293.32290767,17951286.961973965,0.9100322572948665
2024-02-26 04:21:23.344,2460366.681520185,1.036326,KELT-4,2460366.7809,22970597.49212651,22550209.651112996,25950731.87827498,1.1297369120315635,TYC 1973-1054-1,22970597.49212651,22550209.651112996,25950731.87827498,1.1297369120315635
2024-02-26 04:22:33.343,2460366.682330359,1.035079,KELT-4,2460366.7809,20758208.639502198,25109029.669244453,23009580.38795915,1.1084569380506497,TYC 1973-1054-1,20758208.639502198,25109029.669244453,23009580.38795915,1.1084569380506497
2024-02-26 04:23:43.532,2460366.6831427314,1.033829,KELT-4,2460366.7809,20363051.76115723,24549221.80469309,21631362.944844075,1.062284926570101,TYC 1973-1054-1,20363051.76115723,24549221.80469309,21631362.944844075,1.062284926570101
2024-02-26 04:24:53.344,2460366.683950741,1.032611,KELT-4,2460366.7809,22806194.776543476,21636353.12554151,21069139.36055673,0.9238340532909359,TYC 1973-1054-1,22806194.776543476,21636353.12554151,21069139.36055673,0.9238340532909359
2024-02-26 04:26:03.348,2460366.6847609724,1.031414,KELT-4,2460366.7809,23621998.744319383,22694942.64796488,19708024.82475821,0.8343080972137293,TYC 1973-1054-1,23621998.744319383,22694942.64796488,19708024.82475821,0.8343080972137293
2024-02-26 04:26:44.448,2460366.685236667,1.030736,KELT-4,2460366.7809,22747264.59860859,19049750.671564087,22287145.01707842,0.9797725313505028,TYC 1973-1054-1,22747264.59860859,19049750.671564087,22287145.01707842,0.9797725313505028
2024-02-26 04:27:54.437,2460366.6860467247,1.029622,KELT-4,2460366.7809,22990241.157613683,23490648.366137378,20800493.205985315,0.9047531543224726,TYC 1973-1054-1,22990241.157613683,23490648.366137378,20800493.205985315,0.9047531543224726
2024-02-26 04:29:04.348,2460366.6868558796,1.02851,KELT-4,2460366.7809,22347378.02293761,20596853.9332344,23155484.73827594,1.0361611422382027,TYC 1973-1054-1,22347378.02293761,20596853.9332344,23155484.73827594,1.0361611422382027
2024-02-26 04:30:14.344,2460366.6876660185,1.027409,KELT-4,2460366.7809,23834018.62353946,22079374.142042454,26221939.695545617,1.100189611736216,TYC 1973-1054-1,23834018.62353946,22079374.142042454,26221939.695545617,1.100189611736216
2024-02-26 04:31:24.344,2460366.6884762035,1.02635,KELT-4,2460366.7809,23400706.24351013,22222265.712608233,22474622.80801829,0.9604249792354589,TYC 1973-1054-1,23400706.24351013,22222265.712608233,22474622.80801829,0.9604249792354589
2024-02-26 04:32:34.339,2460366.689286331,1.025312,KELT-4,2460366.7809,19152789.769726455,21561870.278983794,19598820.42692509,1.023288025533682,TYC 1973-1054-1,19152789.769726455,21561870.278983794,19598820.42692509,1.023288025533682
2024-02-26 04:34:54.344,2460366.6909067594,1.023252,KELT-4,2460366.7809,20350405.018317677,22342111.742081657,20386768.672803923,1.0017868762048479,TYC 1973-1054-1,20350405.018317677,22342111.742081657,20386768.672803923,1.0017868762048479
2024-02-26 04:39:34.348,2460366.6941475463,1.01949,KELT-4,2460366.7809,19581241.225131914,22479882.772572428,24911060.399003856,1.2721900574429001,TYC 1973-1054-1,19581241.225131914,22479882.772572428,24911060.399003856,1.2721900574429001
2024-02-26 04:40:44.344,2460366.694957685,1.018609,KELT-4,2460366.7809,23860071.86906546,23025628.107736237,22335554.603844844,0.936105923167937,TYC 1973-1054-1,23860071.86906546,23025628.107736237,22335554.603844844,0.936105923167937
2024-02-26 04:43:04.424,2460366.6965789814,1.0169,KELT-4,2460366.7809,18889671.117275342,22018735.965525456,24118141.424648378,1.2767899067650466,TYC 1973-1054-1,18889671.117275342,22018735.965525456,24118141.424648378,1.2767899067650466
