obs_date_time,JD,airmass,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-03-03 00:22:11.235,2460737.5154078123,1.024597,581469.483649664,270333.67477403715,412334.0839978152,0.7091242027178282,2396054.008959236,2099130.687013989,2302075.191939951,0.9607776716768975
2025-03-03 00:23:26.131,2460737.5162746646,1.023531,102998.32638987162,110187.85929493768,291249.2528210753,2.8277085951730125,2284121.7591395695,1728485.6718820995,2155033.439831928,0.9434844842263272
2025-03-03 00:24:40.870,2460737.517139699,1.022484,342316.12749927747,164854.2137204074,359555.215226706,1.0503601388966546,2592654.0748831485,2113902.9215807663,2336734.652294388,0.9012905635703464
2025-03-03 00:25:56.365,2460737.518013484,1.021459,988961.5451765907,155240.53150824053,355797.48669440835,0.3597687780983198,2416152.271642172,2041069.5459113389,2312814.660872618,0.9572305057167119
2025-03-03 00:27:12.013,2460737.5188890393,1.020456,689352.5971590158,143819.84818070024,375306.6559755887,0.5444335127223945,2396084.4998719413,2074477.7026973867,2331337.937295074,0.9729781806191194
2025-03-03 00:28:26.632,2460737.519752685,1.019474,739125.5292513616,228628.20656408783,379781.3072966663,0.5138251788993617,2458524.540866309,2074524.5534851537,2227349.513749653,0.905970014423693
2025-03-03 00:29:41.576,2460737.5206200927,1.018501,637032.1819492829,202904.69833533413,377631.16178029205,0.592797620717939,2471525.6567094056,2076993.58458097,2255813.4071926298,0.9127210154864523
2025-03-03 00:30:56.266,2460737.5214845603,1.017556,724777.0636901016,146695.26552016044,362015.7489224756,0.49948565849934984,2518850.6577176233,2075585.3522487218,2280314.6549745477,0.9052996643480176
2025-03-03 00:32:10.915,2460737.5223485534,1.016662,670470.8341283378,300084.9129139238,375168.7728066095,0.55956016833209,2551198.711357786,2148452.4598891973,2456090.4414794003,0.9627201638763107
2025-03-03 00:33:25.590,2460737.5232128473,1.015812,1139333.7965238236,217614.62586065364,371798.6441859758,0.32632986515484397,2357274.9647434317,2019493.1754727538,2193345.075718745,0.9304578840073802
2025-03-03 00:37:18.861,2460737.525912743,1.013275,761516.6988606068,148072.67762089593,369526.4231793139,0.4852505844352529,2423523.379146162,2054909.480932553,2212819.201807368,0.9130587395393612
2025-03-03 00:38:34.829,2460737.5267920024,1.012494,965423.3537382522,188887.84177120568,392487.709706766,0.4065446606268634,2403328.145469332,2037043.7565824564,2167904.0405364973,0.902042463332921
2025-03-03 00:39:49.747,2460737.527659109,1.011733,435772.17423398985,232698.2212972007,378204.95766034926,0.8678960705216354,2489715.749870278,2056763.0529501766,2205422.7684750203,0.8858130766895497
2025-03-03 00:42:40.955,2460737.529640683,1.010116,412653.3567512004,200173.3199475451,356625.039305615,0.8642242537739337,2464910.3883538917,2060510.3571149013,2321709.829121832,0.9419043548566114
2025-03-03 00:47:59.168,2460737.533323704,1.007416,239538.3425159815,153466.835514766,375128.221410375,1.5660466607150678,2503992.371498492,2102299.0434139487,2333182.241089142,0.9317848838704208
2025-03-03 00:49:14.168,2460737.5341917593,1.00685,234534.20560649593,180639.80103679575,380033.5086144059,1.6203756191198408,2381072.543758975,2007541.3860367986,2191072.0783029366,0.9202038316917105
2025-03-03 00:50:30.058,2460737.5350701157,1.006302,505646.05255702854,258294.3395348001,383984.1790223384,0.7593932100934009,2439517.6625811337,2057741.2623041642,2307213.683836668,0.9457663370207037
2025-03-03 00:51:44.900,2460737.5359363426,1.005787,677275.0720238582,247643.75563869753,393929.02942549385,0.5816381640156055,2356257.4508575336,2081701.5801017021,2335500.356195387,0.9911906508116962
2025-03-03 00:52:59.713,2460737.5368022337,1.005317,268890.5490291698,157342.24474654792,366707.72575095255,1.3637806426256036,2617584.732442683,2117763.172258397,2383347.781482666,0.9105140903150701
2025-03-03 00:54:14.416,2460737.5376668517,1.004871,207848.77563977765,143317.63933741752,364369.699665221,1.7530519414591572,2553603.990588185,2132725.3127446556,2456858.2813085276,0.9621140514988883
2025-03-03 00:55:30.258,2460737.538544653,1.004436,180441.7066971736,177040.01281113114,391960.7541052086,2.172229254974943,2453627.558171421,2145091.268504299,2387042.150992852,0.9728624635972903
2025-03-03 00:56:45.159,2460737.5394115625,1.00403,393067.36479864444,194269.69032007467,386809.2493453602,0.9840787711885212,2503761.3223861456,2104850.3324571433,2352495.286187006,0.9395844824158481
2025-03-03 00:58:00.408,2460737.5402825,1.003643,146200.62966456346,250778.67950706667,369572.083974399,2.5278419444726716,2472193.059907623,2103114.448080721,2312458.617337567,0.9353875531969882
2025-03-03 00:59:15.337,2460737.5411497336,1.00327,629027.9808611269,270393.8237131414,395384.41010224004,0.628564105464699,2521633.5139993858,2095813.558766432,2198962.3299855744,0.8720388263312517
2025-03-03 01:00:41.646,2460737.5421486804,1.002875,435190.85495302884,143617.9813952269,383268.93917925324,0.8806916202791539,2490626.971896329,2097905.3608087506,2334988.077185094,0.9375101544842206
2025-03-03 01:03:11.378,2460737.5438816897,1.002274,194264.6950753226,133264.30158009287,352727.7683593721,1.8157070085359994,2685075.3658182994,2130850.522546834,2553819.1079912456,0.9511163598988767
2025-03-03 01:04:27.459,2460737.544762257,1.002011,196518.2360490284,140552.5164608463,370631.7277996258,1.8859915255251865,2607957.9184275367,2144680.507732639,2407491.0711680865,0.9231326372856808
2025-03-03 01:05:42.469,2460737.545630428,1.00177,557157.1524438746,171378.33617675776,391468.7319280065,0.7026181575716938,2589818.2563075954,2123327.280908209,2317278.2112533296,0.8947647988848312
