obs_date_time,JD,target_flux_red,flux_green,flux_blue,blue_over_red,comp_flux_red,comp_flux_green,comp_flux_blue,comp_blue_over_red
2025-03-03 00:22:11.235,2460737.5154078123,581469.483649664,270333.67477403715,412334.0839978152,0.7091242027178282,2803344.9511402147,2212084.3721982166,871521.2274498309,0.31088618869231693
2025-03-03 00:23:26.131,2460737.5162746646,102998.32638987162,110187.85929493768,291249.2528210753,2.8277085951730125,1734271.8747539395,2157460.085724418,1230140.1959155726,0.7093121982907705
2025-03-03 00:24:40.870,2460737.517139699,342316.12749927747,164854.2137204074,359555.215226706,1.0503601388966546,2013035.9488944483,1532909.4077688272,1291815.2566778858,0.6417248819562044
2025-03-03 00:25:56.365,2460737.518013484,988961.5451765907,155240.53150824053,355797.48669440835,0.3597687780983198,2730014.408520575,1169825.1742743012,1668062.2846606998,0.6110086010735163
2025-03-03 00:27:12.013,2460737.5188890393,689352.5971590158,143819.84818070024,375306.6559755887,0.5444335127223945,2944534.3979137153,1694235.3014227217,2034282.7688169417,0.6908673813619863
2025-03-03 00:28:26.632,2460737.519752685,739125.5292513616,228628.20656408783,379781.3072966663,0.5138251788993617,2949333.2827798,1789025.655238344,1968088.184769988,0.6672993507587008
2025-03-03 00:29:41.576,2460737.5206200927,637032.1819492829,202904.69833533413,377631.16178029205,0.592797620717939,3376837.5498535004,1444359.2931908516,1530525.098648573,0.4532421462545549
2025-03-03 00:30:56.266,2460737.5214845603,724777.0636901016,146695.26552016044,362015.7489224756,0.49948565849934984,2575908.7486107303,2317155.024168324,1591590.759933596,0.6178754432943293
2025-03-03 00:32:10.915,2460737.5223485534,670470.8341283378,300084.9129139238,375168.7728066095,0.55956016833209,1678024.8778464922,1362539.0232542227,1535398.13042508,0.9150031985196467
2025-03-03 00:33:25.590,2460737.5232128473,1139333.7965238236,217614.62586065364,371798.6441859758,0.32632986515484397,2273890.681951499,2361878.0050380393,1411756.1745569152,0.6208549011447276
2025-03-03 00:37:18.861,2460737.525912743,761516.6988606068,148072.67762089593,369526.4231793139,0.4852505844352529,1778761.5806488055,1156581.278223908,1802350.8024995974,1.013261598466832
2025-03-03 00:38:34.829,2460737.5267920024,965423.3537382522,188887.84177120568,392487.709706766,0.4065446606268634,1757933.79756577,2272238.7923937393,1882410.5542860886,1.0708085576901034
2025-03-03 00:39:49.747,2460737.527659109,435772.17423398985,232698.2212972007,378204.95766034926,0.8678960705216354,2343444.570852433,1971332.1511266937,1648348.237110043,0.7033869107091587
2025-03-03 00:42:40.955,2460737.529640683,412653.3567512004,200173.3199475451,356625.039305615,0.8642242537739337,1549406.186928081,2018560.8071507816,843234.6710722146,0.54423086611268
2025-03-03 00:47:59.168,2460737.533323704,239538.3425159815,153466.835514766,375128.221410375,1.5660466607150678,2096591.7494555968,2312943.0018205233,810371.7007952563,0.3865185966727563
2025-03-03 00:49:14.168,2460737.5341917593,234534.20560649593,180639.80103679575,380033.5086144059,1.6203756191198408,2559609.5122592067,1327929.3929510638,978210.9836855659,0.38217195982451263
2025-03-03 00:50:30.058,2460737.5350701157,505646.05255702854,258294.3395348001,383984.1790223384,0.7593932100934009,1468672.5338263507,2305668.049109355,1413728.2122538355,0.9625891270470157
2025-03-03 00:51:44.900,2460737.5359363426,677275.0720238582,247643.75563869753,393929.02942549385,0.5816381640156055,1965703.4895448943,2755751.9504044647,810608.3925796566,0.4123757203927695
2025-03-03 00:52:59.713,2460737.5368022337,268890.5490291698,157342.24474654792,366707.72575095255,1.3637806426256036,1898626.8806201878,943541.0155706729,1789636.4846096032,0.9425951475126156
2025-03-03 00:54:14.416,2460737.5376668517,207848.77563977765,143317.63933741752,364369.699665221,1.7530519414591572,1181795.017110912,1807850.6835298669,1441251.0349111592,1.2195440106309885
2025-03-03 00:55:30.258,2460737.538544653,180441.7066971736,177040.01281113114,391960.7541052086,2.172229254974943,2366582.4131961023,994259.9055295767,1375515.446529399,0.5812244014235475
2025-03-03 00:56:45.159,2460737.5394115625,393067.36479864444,194269.69032007467,386809.2493453602,0.9840787711885212,1828988.7855989179,1764819.5908583787,742645.2819293822,0.4060414627890661
2025-03-03 00:58:00.408,2460737.5402825,146200.62966456346,250778.67950706667,369572.083974399,2.5278419444726716,4166510.2142510177,975016.6229016827,1078070.5451192358,0.2587466463977054
2025-03-03 00:59:15.337,2460737.5411497336,629027.9808611269,270393.8237131414,395384.41010224004,0.628564105464699,2585965.6549042966,2123218.8358397884,1114824.2600377656,0.43110559412244936
2025-03-03 01:00:41.646,2460737.5421486804,435190.85495302884,143617.9813952269,383268.93917925324,0.8806916202791539,2282228.4780453797,2263144.9680540785,1466877.6282021354,0.6427391658255208
2025-03-03 01:01:56.533,2460737.5430154284,127896.39085537547,136054.06166983905,370229.3270508783,2.8947597705828274,1642327.3130980055,2128214.2690742565,748286.6916947487,0.45562579744424847
2025-03-03 01:03:11.378,2460737.5438816897,194264.6950753226,133264.30158009287,352727.7683593721,1.8157070085359994,2103589.361654346,2277236.2781924447,1793837.5688312983,0.852750827481155
2025-03-03 01:04:27.459,2460737.544762257,196518.2360490284,140552.5164608463,370631.7277996258,1.8859915255251865,2020919.8404160838,1550706.2147249877,1002727.2654949813,0.49617369548340495
2025-03-03 01:05:42.469,2460737.545630428,557157.1524438746,171378.33617675776,391468.7319280065,0.7026181575716938,988443.3659148525,2622860.43072555,1465776.4884827936,1.482913982761315
